property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,location,inpatient)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,dependence,opioids)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	receive(X,buprenorphine_naloxone)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(buprenorphine_naloxone,duration,n13_days)	CTN-0001

property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,location,outpatient)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,dependence,opioids)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	receive(X,buprenorphine_naloxone)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(buprenophine_naloxone,duration,n13_days)	CTN-0001

property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,urine_sample,opioids,negative,just_after_treatment)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,location,outpatient)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,dependence,opioids)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	receive(X,clonidine)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(clonidine,duration,n13_days)	CTN-0001

property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,location,inpatient)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,dependence,opioids)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	receive(X,clonidine)	CTN-0001
property(X,urine_sample,opioids,negative,just_after_treatment)	property(clonidine,duration,n13_days)	CTN-0001

property(X,urine_sample,opioids,negative,n1_month)	receive(X,buprenorphine)	CTN-0003
property(X,urine_sample,opioids,negative,n1_month)	property(buprenorphine,duration,n28_days)	CTN-0003
property(X,urine_sample,opioids,negative,n1_month)	property(buprenorphine,dosing,taper)	CTN-0003
property(X,urine_sample,opioids,negative,n1_month)	property(X,dependence,opioids)	CTN-0003

property(X,urine_sample,opioids,negative,n3_month)	receive(X,buprenorphine)	CTN-0003
property(X,urine_sample,opioids,negative,n3_month)	property(buprenorphine,duration,n28_days)	CTN-0003
property(X,urine_sample,opioids,negative,n3_month)	property(buprenorphine,dosing,taper)	CTN-0003
property(X,urine_sample,opioids,negative,n3_month)	property(X,dependence,opioids)	CTN-0003

property(X,urine_sample,opioids,negative,n1_month)	receive(X,buprenorphine)	CTN-0003
property(X,urine_sample,opioids,negative,n1_month)	property(buprenorphine,duration,n7_days)	CTN-0003
property(X,urine_sample,opioids,negative,n1_month)	property(buprenorphine,dosing,taper)	CTN-0003
property(X,urine_sample,opioids,negative,n1_month)	property(X,dependence,opioids)	CTN-0003

property(X,urine_sample,opioids,positive,n3_month)	receive(X,buprenorphine)	CTN-0003
property(X,urine_sample,opioids,positive,n3_month)	property(buprenorphine,duration,n7_days)	CTN-0003
property(X,urine_sample,opioids,positive,n3_month)	property(buprenorphine,dosing,taper)	CTN-0003
property(X,urine_sample,opioids,positive,n3_month)	property(X,dependence,opioids)	CTN-0003

property(X,urine_sample, opioids,negative,just_after_treatment)	receive(X,buprenorphine)	CTN-0003
property(X,urine_sample, opioids,negative,just_after_treatment)	property(buprenorphine,duration,n28_days)	CTN-0003
property(X,urine_sample, opioids,negative,just_after_treatment)	property(buprenorphine,dosing,taper)	CTN-0003
property(X,urine_sample, opioids,negative,just_after_treatment)	property(X,dependence,opioids)	CTN-0003

property(X,urine_sample,opioids,negative,just_after_treatment)	receive(X,buprenorphine)	CTN-0003
property(X,urine_sample,opioids,negative,just_after_treatment)	property(buprenorphine,duration,n7_days)	CTN-0003
property(X,urine_sample,opioids,negative,just_after_treatment)	property(buprenorphine,dosing,taper)	CTN-0003
property(X,urine_sample,opioids,negative,just_after_treatment)	property(X,dependence,opioids)	CTN-0003

remain(X,in_therapy,n4_weeks)	receive(X,care_as_usual)	CTN-0004
remain(X,in_therapy,n4_weeks)	receive(X,motivational_enhancement)	CTN-0004
remain(X,in_therapy,n4_weeks)	property(X,dependence,opioids)	CTN-0004
remain(X,in_therapy,n4_weeks)	property(X,location,outpatient)	CTN-0004

remain(X,in_therapy,n12_weeks)	receive(X,care_as_usual)	CTN-0004
remain(X,in_therapy,n12_weeks)	receive(X,motivational_enhancement)	CTN-0004
remain(X,in_therapy,n12_weeks)	property(X,dependence,opioids)	CTN-0004
remain(X,in_therapy,n12_weeks)	property(X,location,outpatient)	CTN-0004
    
property(X,urine_sample,Y,positive)	receive(X,care_as_usual)	CTN-0004
property(X,urine_sample,Y,positive)	receive(X,motivational_enhancement))	CTN-0004
property(X,urine_sample,Y,positive)	property(X,dependence,Y)	CTN-0004
property(X,urine_sample,Y,positive)	substance(Y)	CTN-0004
property(X,urine_sample,Y,positive)	property(X,location,outpatient)	CTN-0004
 
remain(X, in_therapy, n28_days)	receive(X,motivational_interviewing)	CTN-0005
remain(X, in_therapy, n28_days)	property(X,dependence,Y)	CTN-0005
remain(X, in_therapy, n28_days)	substance(Y)	CTN-0005
remain(X, in_therapy, n28_days)	property(X,location,outpatient)	CTN-0005

property(X,urine_sample,Y,positive,n28_days)	receive(X,motivational_interviewing)	CTN-0005
property(X,urine_sample,Y,positive,n28_days)	receive(X,standard_care)	CTN-0005
property(X,urine_sample,Y,positive,n28_days)	property(X,location,outpatient)	CTN-0005
property(X,urine_sample,Y,positive,n28_days)	property(X,dependence,Y)	CTN-0005
property(X,urine_sample,Y,positive,n28_days)	substance(Y)	CTN-0005

remain(X, in_therapy, n84_days)	property(X,location,outpatient)	CTN-0005
remain(X, in_therapy, n84_days)	receive(X,motivational_interviewing)	CTN-0005
remain(X, in_therapy, n84_days)	receive(X,standard_care)	CTN-0005
remain(X, in_therapy, n84_days)	property(X,dependence,Y)	CTN-0005
remain(X, in_therapy, n84_days)	substance(Y)	CTN-0005 	

remain(X,in_treatment,n4_weeks)	receive(X,counseling)	CTN-0006
remain(X,in_treatment,n4_weeks)	property(X,location,outpatient)	CTN-0006
remain(X,in_treatment,n4_weeks)	property(X,use,cocaine)	CTN-0006
remain(X,in_treatment,n4_weeks)	property(X,use,methamphetamine)	CTN-0006

property(X,urine_sample,opioids,negative,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006
property(X,urine_sample,opioids,negative,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,opioids,negative,n4_weeks)	property(X,use,cocaine)	CTN-0006
property(X,urine_sample,opioids,negative,n4_weeks)	property(X,use,methamphetamine)	CTN-0006

property(X,urine_sample,opioids,negative,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,opioids,negative,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,opioids,negative,n4_weeks)	property(X,use,cocaine)	CTN-0006
property(X,urine_sample,opioids,negative,n4_weeks)	property(X,use,methamphetamine)	CTN-0006

property(X,urine_sample,opioids,negative,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006
property(X,urine_sample,opioids,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,opioids,negative,n8_weeks)	property(X,use,cocaine)	CTN-0006
property(X,urine_sample,opioids,negative,n8_weeks)	property(X,use,methamphetamine)	CTN-0006

property(X,urine_sample,opioids,negative,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,opioids,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,opioids,negative,n8_weeks)	property(X,use,cocaine)	CTN-0006
property(X,urine_sample,opioids,negative,n8_weeks)	property(X,use,methamphetamine)	CTN-0006

property(X,urine_sample,opioids,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006
property(X,urine_sample,opioids,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,opioids,negative,n12_weeks)	property(X,use,cocaine)	CTN-0006
property(X,urine_sample,opioids,negative,n12_weeks)	property(X,use,methamphetamine)	CTN-0006

property(X,urine_sample,opioids,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,opioids,negative,n12_weeks)	property(X,use,Y)	CTN-0006
property(X,urine_sample,opioids,negative,n12_weeks)	stimulant(Y))	CTN-0006
property(X,urine_sample,opioids,negative,n12_weeks)	property(X,use,alcohol)	CTN-0006

property(X,urine_sample,Y,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006


property(X,urine_sample,Y,negative,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	stimulant(Y)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,Y,negative,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	stimulant(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,alcohol,negative,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,A,n4_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,A,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,A,n4_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,A,n4_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,A,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,A,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,A,n4_weeks)	stimulant(Y)	CTN-0006
property(X,abstinence,A,n4_weeks)	opioid(A)	CTN-0006
property(X,abstinence,A,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,Y,n4_weeks)	property(X,location,outpatient) CTN-0006
property(X,abstinence,Y,n4_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,Y,n4_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,Y,n4_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,Y,n4_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,Y,n4_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,Y,n4_weeks)	stimulant(Y)	CTN-0006
property(X,abstinence,Y,n4_weeks)	opioid(A)	CTN-0006
property(X,abstinence,Y,n4_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,Y,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,Y,negative,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,alcohol,negative,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,A,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,A,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,A,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,A,n8_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,A,n8_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,A,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,A,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,A,n8_weeks)	opioid(A)	CTN-0006
property(X,abstinence,A,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,Y,n8_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,Y,n8_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,Y,n8_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,Y,n8_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,Y,n8_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,Y,n8_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,Y,n8_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,Y,n8_weeks)	opioid(A)	CTN-0006
property(X,abstinence,Y,n8_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,Y,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,Y,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	stimulant(Z)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	opioid(Y)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	opioid(A)	CTN-0006
property(X,urine_sample,alcohol,negative,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,A,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,A,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,A,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,A,n12_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,A,n12_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,A,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,A,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,A,n12_weeks)	opioid(A)	CTN-0006
property(X,abstinence,A,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,abstinence,Y,n12_weeks)	property(X,location,outpatient)	CTN-0006
property(X,abstinence,Y,n12_weeks)	property(X,dependence,Y)	CTN-0006
property(X,abstinence,Y,n12_weeks)	property(X,dependence,Z)	CTN-0006
property(X,abstinence,Y,n12_weeks)	stimulant(Z)	CTN-0006
property(X,abstinence,Y,n12_weeks)	opioid(Y)	CTN-0006
property(X,abstinence,Y,n12_weeks)	receive(X,counseling)	CTN-0006
property(X,abstinence,Y,n12_weeks)	receive(X,methadone)	CTN-0006
property(X,abstinence,Y,n12_weeks)	opioid(A)	CTN-0006
property(X,abstinence,Y,n12_weeks)	receive(X,abstinence_based_incentive)	CTN-0006

property(X,use,nicotine,just_after_treatment)	receive(X, nicotine)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X, use, nicotine)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X,location,outpatient)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X,dependence,alcohol)	CTN-0009
property(X,use,nicotine,just_after_treatment)	property(X,dependence,Y)	CTN-0009
property(X,use,nicotine,just_after_treatment)	opioid(Y)	CTN-0009

property(X,use,nicotine,n13_weeks)	receive(X, nicotine)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X, use, nicotine)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X,location,outpatient)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X,dependence,alcohol)	CTN-0009
property(X,use,nicotine,n13_weeks)	property(X,dependence,Y)	CTN-0009
property(X,use,nicotine,n13_weeks)	opioid(Y)	CTN-0009

property(X,use,nicotine,n26_weeks)	receive(X, nicotine)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X, use, nicotine)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X,location,outpatient)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X,dependence,alcohol)	CTN-0009
property(X,use,nicotine,n26_weeks)	property(X,dependence,Y)	CTN-0009
property(X,use,nicotine,n26_weeks)	opioid(Y)	CTN-0009

property(X,urine_sample,opioids,positive,n4_weeks)	property(X,dependence, opioids)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	property(X,location,outpatient)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	property(X,age,youth)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	receive(X, buprenorphine_naloxone)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	receive(X, detoxification)	CTN-0010
property(X,urine_sample,opioids,positive,n4_weeks)	receive(X, buprenorphine)	CTN-0010

property(X,urine_sample,opioids,positive,n8_weeks)	property(X,dependence, opioids)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	property(X,location,outpatient)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	property(X,age,youth)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	receive(X, buprenorphine_naloxone)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	receive(X, detoxification)	CTN-0010
property(X,urine_sample,opioids,positive,n8_weeks)	receive(X, buprenorphine)	CTN-0010

property(X,urine_sample,opioids,positive,n12_weeks)	property(X,dependence, opioids)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	property(X,location,outpatient)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	property(X,age,youth)	CTN-0010
property(X,urine_sample,opioids,positive,n12_weeks)	receive(X, buprenorphine_naloxone)	CTN-0010
